c:\MyStuff\CodingProjects\enigmaCOA\trainModelLogisticRegression.py:72: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame
See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self.y.loc[self.y.index[i]] = 0
epoch: 1, loss = 0.7293
epoch: 2, loss = 0.9064
epoch: 3, loss = 0.8146
epoch: 4, loss = 1.0367
epoch: 5, loss = 0.7517
epoch: 6, loss = 1.0368
epoch: 7, loss = 0.7218
epoch: 8, loss = 0.8473
epoch: 9, loss = 0.7950
epoch: 10, loss = 0.9818
epoch: 11, loss = 0.6819
epoch: 12, loss = 1.0251
epoch: 13, loss = 0.7152
epoch: 14, loss = 0.7490
epoch: 15, loss = 0.7732
epoch: 16, loss = 0.8423
epoch: 17, loss = 0.7210
epoch: 18, loss = 0.8823
epoch: 19, loss = 0.6735
epoch: 20, loss = 0.9990
epoch: 21, loss = 0.6298
epoch: 22, loss = 0.6614
epoch: 23, loss = 0.7165
epoch: 24, loss = 0.9545
epoch: 25, loss = 0.6587
epoch: 26, loss = 0.7613
epoch: 27, loss = 0.6835
epoch: 28, loss = 0.8524
epoch: 29, loss = 0.6284
epoch: 30, loss = 0.9439
epoch: 31, loss = 0.5942
epoch: 32, loss = 0.6351
epoch: 33, loss = 0.6938
epoch: 34, loss = 0.8609
epoch: 35, loss = 0.6013
epoch: 36, loss = 0.7632
epoch: 37, loss = 0.6218
epoch: 38, loss = 0.9713
epoch: 39, loss = 0.5949
epoch: 40, loss = 0.5668
epoch: 41, loss = 0.6322
epoch: 42, loss = 0.8706
epoch: 43, loss = 0.5851
epoch: 44, loss = 0.6446
epoch: 45, loss = 0.6450
epoch: 46, loss = 0.8690
epoch: 47, loss = 0.5693
epoch: 48, loss = 0.6298
epoch: 49, loss = 0.6314
epoch: 50, loss = 0.8363
epoch: 51, loss = 0.5562
epoch: 52, loss = 0.6517
epoch: 53, loss = 0.6092
epoch: 54, loss = 0.7732
epoch: 55, loss = 0.5511
epoch: 56, loss = 0.7608
epoch: 57, loss = 0.5442
epoch: 58, loss = 0.6239
epoch: 59, loss = 0.5963
epoch: 60, loss = 0.8778
epoch: 61, loss = 0.5368
epoch: 62, loss = 0.5363
epoch: 63, loss = 0.5838
epoch: 64, loss = 0.7042
epoch: 65, loss = 0.5461
epoch: 66, loss = 0.7434
epoch: 67, loss = 0.5257
epoch: 68, loss = 0.6003
epoch: 69, loss = 0.5733
epoch: 70, loss = 0.7913
epoch: 71, loss = 0.5140
epoch: 72, loss = 0.5667
epoch: 73, loss = 0.5761
epoch: 74, loss = 0.7629
epoch: 75, loss = 0.5130
epoch: 76, loss = 0.5826
epoch: 77, loss = 0.5604
epoch: 78, loss = 0.6931
epoch: 79, loss = 0.5118
epoch: 80, loss = 0.5958
epoch: 81, loss = 0.5400
epoch: 82, loss = 0.7192
epoch: 83, loss = 0.4989
epoch: 84, loss = 0.5450
epoch: 85, loss = 0.5481
epoch: 86, loss = 0.6573
epoch: 87, loss = 0.5068
epoch: 88, loss = 0.6018
epoch: 89, loss = 0.5173
epoch: 90, loss = 0.6834
epoch: 91, loss = 0.4921
epoch: 92, loss = 0.5376
epoch: 93, loss = 0.5311
epoch: 94, loss = 0.6730
epoch: 95, loss = 0.4899
epoch: 96, loss = 0.5425
epoch: 97, loss = 0.5227
epoch: 98, loss = 0.6370
epoch: 99, loss = 0.4896
epoch: 100, loss = 0.5520
accuracy = 0.8228
